Fanout,Network size,Average number of routing hops to find the join position in nBATON*
2,1000,28.4545545545546
2,2000,54.4784892446223
2,3000,67.71873957986
2,4000,106.529382345586
2,5000,122.175275055011
2,6000,132.827654609102
2,7000,159.346906700957
2,8000,210.647643455432
2,9000,237.038019711805
2,10000,240.746074607461
4,1000,10.2780780780781
4,2000,18.7151075537769
4,3000,24.8414138046015
4,4000,35.6410102525631
4,5000,49.4675535107021
4,6000,63.7446295623017
4,7000,65.140362908987
4,8000,67.1543193539978
4,9000,70.5885209467719
4,10000,76.4340934093409
6,1000,6.15125125125125
6,2000,12.0291645822911
6,3000,13.322540846949
6,4000,17.0380845211303
6,5000,22.0505901180236
6,6000,27.6902150358393
6,7000,33.7414202028861
6,8000,39.9903862982873
6,9000,47.9384264918324
6,10000,55.3902190219022
8,1000,5.08968968968969
8,2000,6.759979989995
8,3000,9.92057352450817
8,4000,13.4600900225056
8,5000,19.4831366273255
8,6000,19.7908818136356
8,7000,20.0561080154308
8,8000,20.633566695837
8,9000,21.8453717079676
8,10000,23.5230123012301
10,1000,3.46566566566567
10,2000,6.02656328164082
10,3000,6.79139713237746
10,4000,8.39574893723431
10,5000,10.3583593669514
10,6000,12.5149191531922
10,7000,14.7587798256894
10,8000,17.0676459557445
10,9000,19.4109012112457
10,10000,21.7920592059206
