Fanout,Network size,Average number of routing hops to find the join position in MINHTON
2,1000,5.68078078078078
2,2000,6.24762381190595
2,3000,6.75851950650217
2,4000,6.8346336584146
2,5000,7.35511102220444
2,6000,7.34575762627104
2,7000,7.34127732533219
2,8000,7.42350293786723
2,9000,7.83165907323036
2,10000,7.95505550555056
4,1000,4.48828828828829
4,2000,5.2208104052026
4,3000,5.22837612537513
4,4000,5.30462615653914
4,5000,5.41620324064813
4,6000,5.77584597432906
4,7000,6.02470352907558
4,8000,6.11857732216527
4,9000,6.12161351261251
4,10000,6.0965896589659
6,1000,3.94184184184184
6,2000,4.59819909954978
6,3000,4.69573191063688
6,4000,4.71442860715179
6,5000,4.7753150630126
6,6000,4.85015835972662
6,7000,4.91154450635805
6,8000,4.97853481685211
6,9000,5.02833648183131
6,10000,5.27258725872587
8,1000,3.87887887887888
8,2000,3.98549274637319
8,3000,4.14554851617206
8,4000,4.27316829207302
8,5000,4.51972394478896
8,6000,4.78124687447908
8,7000,4.88994142020289
8,8000,4.91452681585198
8,9000,4.89683298144238
8,10000,4.87423742374237
10,1000,3.48478478478478
10,2000,3.96173086543272
10,3000,3.96988996332111
10,4000,4.06054013503376
10,5000,4.13492698539708
10,6000,4.20405067511252
10,7000,4.26222317473925
10,8000,4.3166270783848
10,9000,4.36554061562396
10,10000,4.4027902790279
