Fanout,Number of nodes,Number of routing hops
2,1000,5.6
2,2000,5.8931
2,3000,6.6238
2,4000,7.361
2,5000,7.85
2,6000,8.000
2,7000,8.2689
2,8000,8.5999
2,9000,8.6667
2,10000,8.7
4,1000,5.0
4,2000,5.6
4,3000,5.9
4,4000,6.2
4,5000,6.39
4,6000,6.79
4,7000,6.8188
4,8000,6.85
4,9000,6.9
4,10000,7
6,1000,4.6
6,2000,5.24
6,3000,5.4
6,4000,5.52
6,5000,5.58
6,6000,5.6
6,7000,5.605
6,8000,5.61
6,9000,5.76
6,10000,6
8,1000,4.2
8,2000,4.25
8,3000,4.32
8,4000,4.38
8,5000,4.4
8,6000,4.6
8,7000,4.78
8,8000,5
8,9000,5.07
8,10000,5.115
10,1000,3.3334
10,2000,3.8317
10,3000,3.9662
10,4000,4.0608
10,5000,4.1
10,6000,4.1714
10,7000,4.1979
10,8000,4.2032
10,9000,4.2674
10,10000,4.3333
